===== Sandstorm OS CMS - Radrakning =====
----------------------------------------------------------------------
Typ	Totalt	Utan doc	Fil
JS	146	87	sandstorm\components\ui\window\element.js
JS	145	77	program\solitaire\solitaire_timing.js
JS	141	107	sandstorm\components\ui\win.js
JS	140	122	sandstorm\components\controlpanel\programs\security.js
JS	140	121	sandstorm\components\explorer\setup\shell.js
JS	139	96	sandstorm\components\ui\windowprompt.js
JS	138	96	program\designer\core\style.js
JS	133	44	sandstorm\modules\language.js
JS	133	54	sandstorm\state\store.js
JS	128	91	program\solitaire\solitaire_core.js
JS	128	32	sandstorm\components\config.js
JS	127	103	sandstorm\components\cursor\state.js
JS	126	86	sandstorm\components\taskbar\statusicons.js
JS	123	70	sandstorm\components\explorer\window\tree.js
JS	117	106	program\mediaplayer\mediaplayer.js
JS	116	82	program\solitaire\solitaire_sizing.js
JS	114	75	sandstorm\components\ui\sidopanel.js
JS	112	94	sandstorm\components\svg.js
JS	110	35	program\solitaire\solitaire_config.js
JS	110	96	sandstorm\components\ui\window\index.js
JS	103	71	sandstorm\components\cursor\detect.js
JS	101	69	sandstorm\components\notifications\state.js
JS	100	76	program\designer\designer_palette.js
JS	100	91	sandstorm\components\controlpanel\programs\core.js
JS	99	89	program\calc\calc.js
JS	99	56	sandstorm\components\explorer\window\fsutil.js
JS	96	52	sandstorm\components\explorer\window\state.js
JS	96	69	sandstorm\components\search\providers\settings.js
JS	93	62	program\designer\tools\colorpickup.js
JS	89	70	sandstorm\components\explorer\setup\icons.js
JS	89	55	sandstorm\components\explorer\window\search.js
JS	88	76	program\designer\designer_devicemode.js
JS	87	54	sandstorm\components\taskbar\showdesktop.js
JS	85	74	program\calc\calc_data.js
JS	84	64	sandstorm\components\cursor\index.js
JS	84	62	sandstorm\components\startmenu\index.js
JS	83	63	sandstorm\components\cursor\theme.js
JS	82	59	program\designer\tools\select.js
JS	81	39	sandstorm\components\taskbar\core.js
JS	78	65	program\designer\designer_layers_panel.js
JS	75	62	program\notepad\setup.js
JS	75	50	sandstorm\components\cursor\pack-loader.js
JS	73	57	program\designer\designer_dock_resizable.js
JS	69	40	program\designer\designer_selection.js
JS	69	44	sandstorm\components\cursor\settings-provider.js
JS	69	36	sandstorm\components\search\manager.js
JS	66	42	sandstorm\components\cursor\cursor-map.js
JS	63	37	program\designer\blocks\text.js
JS	63	37	program\designer\rules\element_capabilities.js
JS	63	45	program\fotoviewer\setup.js
JS	63	44	sandstorm\components\search\providers\filesystem.js
JS	60	20	sandstorm\components\ui\capsLock.js
JS	59	30	sandstorm\components\search\recent.js
JS	58	23	sandstorm\components\taskbar\config.js
JS	56	35	sandstorm\components\search\index.js
JS	55	45	program\solitaire\setup.js
JS	55	23	sandstorm\components\search\providers\commands.js
JS	54	40	program\designer\designer_dock_sortable.js
JS	54	39	program\designer\designer_history_log.js
JS	53	25	sandstorm\components\cursor\events.js
JS	52	25	sandstorm\components\cursor\registry.js
JS	50	40	program\calc\setup.js
JS	47	33	sandstorm\components\search\providers\apps.js
JS	44	34	program\gui\setup.js
JS	40	25	sandstorm\components\notifications\index.js
JS	39	7	program\designer\core\registry.js
JS	39	29	program\formbuilder\setup.js
JS	39	4	sandstorm\components\startmenu\state.js
JS	37	16	sandstorm\components\explorer\setup\index.js
JS	37	24	sandstorm\components\search\actions.js
JS	36	22	sandstorm\components\cursor\packs\standard\manifest.js
JS	36	15	sandstorm\components\taskbar\index.js
JS	33	17	sandstorm\components\util.js
JS	29	2	sandstorm\components\ui\window.js
JS	26	8	program\designer\canvas\renderer.js
JS	24	2	sandstorm\components\explorer\setup.js
JS	22	7	program\designer\core\parser.js
JS	22	2	sandstorm\components\explorer\explorer.js
JS	20	11	program\designer\blocks\layout.js
JS	19	2	sandstorm\components\startmenu.js
JS	17	11	program\designer\blocks\container.js
JS	17	11	program\designer\blocks\custom.js
JS	17	11	program\designer\blocks\form.js
JS	17	12	program\designer\blocks\image.js
JS	17	7	sandstorm\components\networkmonitor\networkmonitor.js
JS	16	11	program\designer\blocks\button.js
JS	11	11	res\js\jquery.ui.touch-punch.min.js
JS	6	6	res\js\jquery-ui.min.js
JS	3	3	res\js\jquery-3.7.1.min.js
JS	2	2	res\js\sortable.min.js
HTML	177	177	index.html
CSS	1300	1300	sandstorm\components\explorer\explorer.css
CSS	1285	1285	res\css\jquery-ui\jquery-ui.css
CSS	1096	1096	sandstorm\components\startmenu.css
CSS	768	768	program\mail\style.css
CSS	547	547	sandstorm\components\taskbar\style.css
CSS	540	540	sandstorm\basic.css
CSS	511	511	sandstorm\components\ui.css
CSS	394	394	sandstorm\components\login\login.css
CSS	376	376	sandstorm\components\controlpanel\tabs.css
CSS	287	287	program\solitaire\solitaire.css
CSS	275	275	sandstorm\components\aichat.css
CSS	141	141	sandstorm\components\controlpanel\launcher.css
CSS	131	131	sandstorm\components\desktop\icons.css
CSS	75	75	program\mediaplayer\mediaplayer.css
CSS	50	50	sandstorm\components\controlpanel\controlpanel.css
CSS	42	42	res\icons\sandstorm.css
----------------------------------------------------------------------
JS   	65842	52171	(221 filer)
CSS  	7818	7818	(16 filer)
HTML 	177	177	(1 filer)
----------------------------------------------------------------------
TOTALT	73837	60166	(238 filer)
Doc-rader borttagna: 13671
